variant,v3-armor,v3-canon,v3-min2bar,v3-pctile,v3-trail,v3.1-armor,v3.1-canon,v3.1-min2bar,v3.1-pctile,v3.1-trail,v4-loose-shorts,v4-overnight-bias,v4-trend-flip,v4-trend-gate,v4-vol-regime,v5-mtf-anchor
v3-armor,1.0,0.9678597289156827,0.9336069585934649,0.9267905623603465,0.9580931778468642,0.077333613297051,-0.17329637436109885,-0.23497645862249514,-0.1315930674548872,-0.039986634541361796,-0.09890862261305378,0.045434398190612374,-0.23453363520656986,-0.3889120819825148,-0.1828396841873332,-0.19141963148902127
v3-canon,0.9678597289156827,1.0,0.9817094202989975,0.9536825744340627,0.9722796226164099,0.2113674485770565,0.0030582039953070297,-0.06226745872303875,0.032429765872959565,0.11813752678174924,0.040124499224009694,0.04442720338412968,-0.11714627092816884,-0.2677711788968865,0.01119395957659162,0.009735425250822083
v3-min2bar,0.9336069585934649,0.9817094202989975,1.0,0.9482896327589215,0.9227593270952978,0.2032898905206378,0.0036564933743806842,-0.050893751263211516,0.036201995950429285,0.1219460937841172,0.044055904946462096,0.10168078394826284,-0.16025722379737836,-0.273191258539062,0.01928450922135276,-0.0002932937338555936
v3-pctile,0.9267905623603465,0.9536825744340627,0.9482896327589215,1.0,0.9053371228797503,0.4055206978628961,0.16656819496963324,0.11620049891248097,0.2172302636007429,0.3098723787722777,0.24760897920622862,0.29722014790332396,-0.36981266889453634,-0.4550879095445878,0.08090609177020913,-0.037803654939252536
v3-trail,0.9580931778468642,0.9722796226164099,0.9227593270952978,0.9053371228797503,1.0,0.1366552395642268,-0.044941726976454204,-0.1015476932282845,-0.020590277668932143,0.07272586034708034,-0.03587905369465526,0.04287851730665148,-0.044863681623057386,-0.15499040252524696,0.0579580873191673,0.0874437882702554
v3.1-armor,0.077333613297051,0.2113674485770565,0.2032898905206378,0.4055206978628961,0.1366552395642268,1.0,0.9412732308534637,0.910753823851188,0.9614394215306263,0.9639756554872457,0.9836747083913971,0.437529482893275,-0.28384435854461865,-0.3174906075144613,0.5990289560777028,0.3455235614610016
v3.1-canon,-0.17329637436109885,0.0030582039953070297,0.0036564933743806842,0.16656819496963324,-0.044941726976454204,0.9412732308534637,1.0,0.9907626788969227,0.9952347432453966,0.979651181742557,0.9680931634726775,0.39205968274929176,-0.053157917468671594,-0.009654163009365831,0.7867637655539151,0.5883782762953462
v3.1-min2bar,-0.23497645862249514,-0.06226745872303875,-0.050893751263211516,0.11620049891248097,-0.1015476932282845,0.910753823851188,0.9907626788969227,1.0,0.989020348137842,0.977893925512316,0.9523459630065725,0.4808240352004317,-0.08915993693545603,0.02515077615423873,0.826313852361255,0.612051349184786
v3.1-pctile,-0.1315930674548872,0.032429765872959565,0.036201995950429285,0.2172302636007429,-0.020590277668932143,0.9614394215306263,0.9952347432453966,0.989020348137842,1.0,0.9920752543000088,0.9832800984530015,0.46174768487959533,-0.14809949316017892,-0.09042503858165575,0.7619522480987568,0.5333050401146641
v3.1-trail,-0.039986634541361796,0.11813752678174924,0.1219460937841172,0.3098723787722777,0.07272586034708034,0.9639756554872457,0.979651181742557,0.977893925512316,0.9920752543000088,1.0,0.9720162833692577,0.5364568723794728,-0.20425822879305605,-0.11654477366193079,0.7787704150550044,0.5356123592510428
v4-loose-shorts,-0.09890862261305378,0.040124499224009694,0.044055904946462096,0.24760897920622862,-0.03587905369465526,0.9836747083913971,0.9680931634726775,0.9523459630065725,0.9832800984530015,0.9720162833692577,1.0,0.4584233352729992,-0.26693307824675405,-0.25793515031069403,0.6329581583508291,0.3726130630169794
v4-overnight-bias,0.045434398190612374,0.04442720338412968,0.10168078394826284,0.29722014790332396,0.04287851730665148,0.437529482893275,0.39205968274929176,0.4808240352004317,0.46174768487959533,0.5364568723794728,0.4584233352729992,1.0,-0.7303345021622247,-0.3174510540257789,0.43236603322109335,0.10190254377590141
v4-trend-flip,-0.23453363520656986,-0.11714627092816884,-0.16025722379737836,-0.36981266889453634,-0.044863681623057386,-0.28384435854461865,-0.053157917468671594,-0.08915993693545603,-0.14809949316017892,-0.20425822879305605,-0.26693307824675405,-0.7303345021622247,1.0,0.8532241082117983,0.23287854675082578,0.576134951878939
v4-trend-gate,-0.3889120819825148,-0.2677711788968865,-0.273191258539062,-0.4550879095445878,-0.15499040252524696,-0.3174906075144613,-0.009654163009365831,0.02515077615423873,-0.09042503858165575,-0.11654477366193079,-0.25793515031069403,-0.3174510540257789,0.8532241082117983,1.0,0.4900407157649682,0.7575272726034271
v4-vol-regime,-0.1828396841873332,0.01119395957659162,0.01928450922135276,0.08090609177020913,0.0579580873191673,0.5990289560777028,0.7867637655539151,0.826313852361255,0.7619522480987568,0.7787704150550044,0.6329581583508291,0.43236603322109335,0.23287854675082578,0.4900407157649682,1.0,0.9237299351504616
v5-mtf-anchor,-0.19141963148902127,0.009735425250822083,-0.0002932937338555936,-0.037803654939252536,0.0874437882702554,0.3455235614610016,0.5883782762953462,0.612051349184786,0.5333050401146641,0.5356123592510428,0.3726130630169794,0.10190254377590141,0.576134951878939,0.7575272726034271,0.9237299351504616,1.0
