hour_ct,n_trades,net_pnl,win_rate,profit_factor,avg_pnl
0,276,-230.69999999999987,0.2826086956521739,0.6612832183233006,-0.8358695652173909
1,236,124.80000000000003,0.5508474576271186,1.1963962546227083,0.528813559322034
2,321,50.299999999999955,0.3862928348909657,1.0685146087311859,0.1566978193146416
3,345,818.5,0.4492753623188406,1.978189423364207,2.372463768115942
4,221,555.3,0.5520361990950227,2.0225577755271154,2.5126696832579185
5,226,115.54999999999995,0.34513274336283184,1.208254483193656,0.5112831858407078
6,161,-421.45,0.3105590062111801,0.43727885706655983,-2.617701863354037
7,184,171.19999999999987,0.33152173913043476,1.138500121349405,0.9304347826086949
8,126,395.54999999999995,0.29365079365079366,1.5703265806358582,3.139285714285714
9,165,583.7999999999997,0.5636363636363636,1.7321753307832186,3.5381818181818163
10,239,-35.10000000000002,0.42677824267782427,0.9698699515000643,-0.14686192468619255
11,180,-1067.25,0.2222222222222222,0.2310878962536023,-5.929166666666666
12,183,-281.8500000000002,0.3989071038251366,0.7410062026188834,-1.5401639344262306
13,281,-1335.45,0.1423487544483986,0.2980367420957187,-4.752491103202847
14,223,-471.1000000000001,0.33183856502242154,0.5139791602187145,-2.1125560538116597
15,208,-1048.1000000000004,0.2403846153846154,0.23529840945571276,-5.038942307692309
17,53,494.40000000000003,0.24528301886792453,3.468913857677903,9.328301886792454
18,93,54.89999999999992,0.3548387096774194,1.3016483516483517,0.5903225806451604
19,165,-541.75,0.28484848484848485,0.31215083798882676,-3.283333333333333
20,116,-34.949999999999974,0.3448275862068966,0.9323919141116161,-0.30129310344827565
21,136,-140.20000000000002,0.27941176470588236,0.48522122269138973,-1.0308823529411766
22,202,297.3500000000001,0.5594059405940595,2.067492371208042,1.4720297029702973
23,341,-139.94999999999993,0.25806451612903225,0.8333134826107672,-0.41041055718475056
