strategy_id,hour_ct,n_trades,net_pnl,win_rate,gross_win,gross_loss
v3-armor,0,5,-12.25,0.2,0.55,12.8
v3-armor,1,1,4.3,1.0,4.3,0.0
v3-armor,2,5,-7.250000000000002,0.2,5.55,12.8
v3-armor,3,5,201.5,0.8,212.20000000000002,10.7
v3-armor,5,1,-9.45,0.0,0.0,9.45
v3-armor,6,1,-5.7,0.0,0.0,5.7
v3-armor,7,8,-36.849999999999994,0.125,24.3,61.14999999999999
v3-armor,8,8,-39.349999999999994,0.125,21.8,61.14999999999999
v3-armor,9,4,-9.75,0.25,5.55,15.299999999999999
v3-armor,10,5,-34.75,0.2,19.3,54.05
v3-armor,11,9,-112.55,0.1111111111111111,30.55,143.09999999999997
v3-armor,12,10,-98.25,0.1,16.8,115.05
v3-armor,13,1,23.05,1.0,23.05,0.0
v3-armor,14,9,-41.3,0.2222222222222222,9.850000000000001,51.14999999999999
v3-armor,15,9,-52.55,0.1111111111111111,4.3,56.849999999999994
v3-armor,17,8,-38.8,0.0,0.0,38.8
v3-armor,18,9,-13.8,0.3333333333333333,2.9000000000000004,16.7
v3-armor,19,6,-36.699999999999996,0.16666666666666666,1.8,38.5
v3-armor,20,4,-5.300000000000001,0.25,15.55,20.85
v3-armor,21,5,-17.25,0.4,2.35,19.599999999999998
v3-armor,22,13,17.15,0.5384615384615384,30.1,12.950000000000001
v3-armor,23,20,-62.750000000000014,0.1,4.85,67.60000000000001
v3-canon,0,36,-25.199999999999996,0.2777777777777778,65.5,90.70000000000002
v3-canon,1,32,5.100000000000003,0.46875,95.75000000000001,90.65
v3-canon,2,37,102.84999999999998,0.40540540540540543,184.5,81.65000000000002
v3-canon,3,37,115.35,0.43243243243243246,215.05,99.7
v3-canon,4,31,37.04999999999998,0.45161290322580644,132.7,95.65
v3-canon,5,32,66.35000000000002,0.4375,133.95,67.6
v3-canon,6,32,-78.64999999999998,0.25,65.65,144.29999999999998
v3-canon,7,34,36.20000000000002,0.2647058823529412,237.45,201.25
v3-canon,8,25,-56.250000000000014,0.24,119.55,175.8
v3-canon,9,31,103.29999999999998,0.5161290322580645,290.05,186.74999999999994
v3-canon,10,36,-28.39999999999999,0.3611111111111111,144.65000000000003,173.04999999999995
v3-canon,11,29,-162.79999999999995,0.2413793103448276,66.35000000000001,229.14999999999995
v3-canon,12,31,-27.949999999999985,0.3870967741935484,136.60000000000002,164.54999999999995
v3-canon,13,34,-127.55,0.20588235294117646,115.10000000000001,242.64999999999998
v3-canon,14,32,-86.14999999999998,0.28125,57.45000000000001,143.6
v3-canon,15,22,-122.9,0.18181818181818182,24.700000000000003,147.59999999999997
v3-canon,17,9,14.25,0.1111111111111111,53.05,38.8
v3-canon,18,11,37.29999999999998,0.45454545454545453,53.99999999999999,16.7
v3-canon,19,15,-51.750000000000014,0.26666666666666666,15.950000000000003,67.7
v3-canon,20,10,11.750000000000004,0.4,50.95,39.2
v3-canon,21,12,-8.4,0.3333333333333333,10.95,19.349999999999998
v3-canon,22,19,24.200000000000003,0.5263157894736842,46.75,22.549999999999997
v3-canon,23,39,-8.549999999999997,0.28205128205128205,76.05,84.60000000000002
v3-min2bar,0,21,-4.7,0.2857142857142857,43.300000000000004,48.000000000000014
v3-min2bar,1,23,-1.0999999999999872,0.5652173913043478,80.89999999999999,82.0
v3-min2bar,2,30,36.499999999999986,0.4,114.1,77.60000000000001
v3-min2bar,3,28,194.1500000000001,0.5357142857142857,263.25,69.10000000000001
v3-min2bar,4,18,48.64999999999999,0.6111111111111112,91.05,42.39999999999999
v3-min2bar,5,18,77.4,0.5555555555555556,114.25,36.849999999999994
v3-min2bar,6,21,-57.2,0.38095238095238093,48.14999999999999,105.35
v3-min2bar,7,21,-39.7,0.3333333333333333,141.35000000000002,181.04999999999995
v3-min2bar,8,16,71.3,0.375,157.04999999999998,85.75
v3-min2bar,9,22,92.09999999999998,0.5909090909090909,210.89999999999998,118.80000000000001
v3-min2bar,10,30,-69.20000000000002,0.5,158.25,227.44999999999993
v3-min2bar,11,16,-179.95000000000002,0.25,47.2,227.15
v3-min2bar,12,17,-100.65000000000003,0.35294117647058826,113.29999999999998,213.95000000000002
v3-min2bar,13,20,-96.5,0.3,79.55000000000001,176.04999999999998
v3-min2bar,14,22,2.1000000000000085,0.45454545454545453,94.25,92.15
v3-min2bar,15,15,-79.25000000000001,0.26666666666666666,25.950000000000003,105.20000000000002
v3-min2bar,17,6,17.599999999999994,0.16666666666666666,53.05,35.45
v3-min2bar,18,10,39.249999999999986,0.6,60.79999999999999,21.549999999999997
v3-min2bar,19,15,-68.0,0.26666666666666666,15.950000000000003,83.95000000000002
v3-min2bar,20,9,16.200000000000006,0.4444444444444444,55.95,39.75
v3-min2bar,21,10,-23.249999999999996,0.3,9.15,32.4
v3-min2bar,22,16,25.050000000000004,0.625,45.50000000000001,20.450000000000003
v3-min2bar,23,30,10.249999999999995,0.3333333333333333,69.25,59.000000000000014
v3-pctile,0,24,-14.299999999999997,0.20833333333333334,47.75,62.05
v3-pctile,1,26,-1.9500000000000028,0.5,67.14999999999999,69.10000000000001
v3-pctile,2,31,48.299999999999976,0.3870967741935484,114.1,65.80000000000001
v3-pctile,3,31,118.30000000000003,0.45161290322580644,210.2,91.9
v3-pctile,4,27,24.850000000000005,0.4074074074074074,117.29999999999998,92.45
