strategy,entry_ts,exit_ts,side,entry_price,exit_price,net_pnl,outcome,bars_held_minutes,reason
overnight_momentum,2024-04-01T22:00:00+00:00,2024-04-02T10:12:00+00:00,buy,5291.5,5283.5,-206.2,stop,732,overnight_long_weak
overnight_momentum,2024-04-02T22:00:00+00:00,2024-04-03T13:00:00+00:00,sell,5262.5,5250.25,300.05,force_close_session,900,overnight_short_weak
overnight_momentum,2024-04-03T22:00:00+00:00,2024-04-03T23:30:00+00:00,sell,5268.5,5276.5,-206.2,stop,90,overnight_short_weak
overnight_momentum,2024-04-04T22:00:00+00:00,2024-04-05T00:36:00+00:00,buy,5204.25,5196.25,-206.2,stop,156,overnight_long_strong
overnight_momentum,2024-04-08T22:00:00+00:00,2024-04-09T07:44:00+00:00,buy,5258.75,5250.75,-206.2,stop,584,overnight_long_weak
overnight_momentum,2024-04-09T22:00:00+00:00,2024-04-10T12:10:00+00:00,sell,5264.5,5272.5,-206.2,stop,850,overnight_short_weak
overnight_momentum,2024-04-10T22:00:00+00:00,2024-04-11T10:06:00+00:00,buy,5198.5,5190.5,-206.2,stop,726,overnight_long_strong
overnight_momentum,2024-04-11T22:00:00+00:00,2024-04-12T10:50:00+00:00,sell,5243.0,5219.0,593.8,target,770,overnight_short_weak
overnight_momentum,2024-04-15T22:00:00+00:00,2024-04-15T23:16:00+00:00,buy,5104.75,5096.75,-206.2,stop,76,overnight_long_weak
overnight_momentum,2024-04-16T22:00:00+00:00,2024-04-17T05:54:00+00:00,buy,5098.75,5090.75,-206.2,stop,474,overnight_long_weak
overnight_momentum,2024-04-17T22:00:00+00:00,2024-04-18T02:14:00+00:00,sell,5064.75,5072.75,-206.2,stop,254,overnight_short_weak
overnight_momentum,2024-04-18T22:00:00+00:00,2024-04-19T00:56:00+00:00,sell,5049.25,5025.25,593.8,target,176,overnight_short_weak
overnight_momentum,2024-04-22T22:00:00+00:00,2024-04-22T23:12:00+00:00,buy,5052.5,5044.5,-206.2,stop,72,overnight_long_weak
overnight_momentum,2024-04-23T22:00:00+00:00,2024-04-24T02:06:00+00:00,sell,5115.0,5123.0,-206.2,stop,246,overnight_short_weak
overnight_momentum,2024-04-24T22:00:00+00:00,2024-04-25T00:04:00+00:00,sell,5071.25,5079.25,-206.2,stop,124,overnight_short_weak
overnight_momentum,2024-04-25T22:00:00+00:00,2024-04-25T23:10:00+00:00,buy,5126.25,5118.25,-206.2,stop,70,overnight_long_strong
overnight_momentum,2024-04-29T22:00:00+00:00,2024-04-30T05:34:00+00:00,buy,5146.25,5138.25,-206.2,stop,454,overnight_long_weak
overnight_momentum,2024-04-30T22:00:00+00:00,2024-05-01T09:08:00+00:00,buy,5053.5,5045.5,-206.2,stop,668,overnight_long_weak
overnight_momentum,2024-05-01T22:00:00+00:00,2024-05-02T08:08:00+00:00,buy,5057.75,5081.75,593.8,target,608,overnight_long_weak
overnight_momentum,2024-05-02T22:00:00+00:00,2024-05-03T07:40:00+00:00,buy,5107.0,5099.0,-206.2,stop,580,overnight_long_strong
overnight_momentum,2024-05-06T22:00:00+00:00,2024-05-07T13:00:00+00:00,buy,5204.0,5212.75,212.55,force_close_session,900,overnight_long_weak
overnight_momentum,2024-05-07T22:00:00+00:00,2024-05-08T13:00:00+00:00,sell,5211.5,5193.75,437.55,force_close_session,900,overnight_short_weak
overnight_momentum,2024-05-08T22:00:00+00:00,2024-05-09T07:30:00+00:00,buy,5208.75,5200.75,-206.2,stop,570,overnight_long_weak
overnight_momentum,2024-05-09T22:00:00+00:00,2024-05-10T07:02:00+00:00,sell,5241.25,5249.25,-206.2,stop,542,overnight_short_weak
overnight_momentum,2024-05-13T22:00:00+00:00,2024-05-14T12:22:00+00:00,sell,5242.25,5250.25,-206.2,stop,862,overnight_short_weak
overnight_momentum,2024-05-14T22:00:00+00:00,2024-05-15T12:30:00+00:00,buy,5268.25,5292.25,593.8,target,870,overnight_long_weak
overnight_momentum,2024-05-15T22:00:00+00:00,2024-05-16T13:00:00+00:00,buy,5329.5,5333.5,93.8,force_close_session,900,overnight_long_weak
overnight_momentum,2024-05-16T22:00:00+00:00,2024-05-17T13:00:00+00:00,sell,5318.75,5325.75,-181.2,force_close_session,900,overnight_short_weak
overnight_momentum,2024-05-20T22:00:00+00:00,2024-05-21T13:00:00+00:00,buy,5333.25,5325.25,-206.2,stop,900,overnight_long_weak
overnight_momentum,2024-05-21T22:00:00+00:00,2024-05-22T13:00:00+00:00,sell,5344.5,5337.25,175.05,force_close_session,900,overnight_short_weak
overnight_momentum,2024-05-22T22:00:00+00:00,2024-05-23T12:02:00+00:00,buy,5340.5,5364.5,593.8,target,842,overnight_long_weak
overnight_momentum,2024-05-23T22:00:00+00:00,2024-05-24T01:38:00+00:00,sell,5287.0,5295.0,-206.2,stop,218,overnight_short_weak
overnight_momentum,2024-05-28T22:00:00+00:00,2024-05-29T07:32:00+00:00,sell,5321.75,5297.75,593.8,target,572,overnight_short_weak
overnight_momentum,2024-05-29T22:00:00+00:00,2024-05-30T13:00:00+00:00,sell,5271.75,5268.5,75.05,force_close_session,900,overnight_short_strong
overnight_momentum,2024-05-30T22:00:00+00:00,2024-05-31T00:12:00+00:00,buy,5246.75,5238.75,-206.2,stop,132,overnight_long_weak
overnight_momentum,2024-06-03T22:00:00+00:00,2024-06-04T08:34:00+00:00,sell,5299.5,5275.5,593.8,target,634,overnight_short_weak
overnight_momentum,2024-06-04T22:00:00+00:00,2024-06-05T13:00:00+00:00,buy,5305.75,5324.5,462.55,force_close_session,900,overnight_long_weak
overnight_momentum,2024-06-05T22:00:00+00:00,2024-06-06T13:00:00+00:00,sell,5365.0,5366.0,-31.2,force_close_session,900,overnight_short_weak
overnight_momentum,2024-06-06T22:00:00+00:00,2024-06-07T12:30:00+00:00,buy,5362.0,5354.0,-206.2,stop,870,overnight_long_weak
overnight_momentum,2024-06-10T22:00:00+00:00,2024-06-11T08:52:00+00:00,buy,5369.25,5361.25,-206.2,stop,652,overnight_long_weak
overnight_momentum,2024-06-12T22:00:00+00:00,2024-06-13T00:00:00+00:00,buy,5434.75,5458.75,593.8,target,120,overnight_long_strong
overnight_momentum,2024-06-13T22:00:00+00:00,2024-06-14T02:40:00+00:00,sell,5497.75,5505.75,-206.2,stop,280,overnight_short_weak
overnight_momentum,2024-06-17T22:00:00+00:00,2024-06-18T13:00:00+00:00,sell,5549.0,5545.5,81.3,force_close_session,900,overnight_short_weak
overnight_momentum,2024-06-18T22:00:00+00:00,2024-06-19T13:00:00+00:00,buy,5561.25,5564.25,68.8,force_close_session,900,overnight_long_weak
overnight_momentum,2024-06-20T22:00:00+00:00,2024-06-21T07:36:00+00:00,buy,5543.75,5535.75,-206.2,stop,576,overnight_long_weak
overnight_momentum,2024-06-24T22:00:00+00:00,2024-06-25T13:00:00+00:00,buy,5518.0,5526.25,200.05,force_close_session,900,overnight_long_weak
overnight_momentum,2024-06-25T22:00:00+00:00,2024-06-26T12:38:00+00:00,buy,5533.5,5525.5,-206.2,stop,878,overnight_long_weak
overnight_momentum,2024-06-26T22:00:00+00:00,2024-06-27T13:00:00+00:00,sell,5535.5,5542.0,-168.7,force_close_session,900,overnight_short_weak
overnight_momentum,2024-06-27T22:00:00+00:00,2024-06-28T00:00:00+00:00,sell,5548.0,5556.0,-206.2,stop,120,overnight_short_weak
overnight_momentum,2024-07-02T22:00:00+00:00,2024-07-03T08:40:00+00:00,sell,5562.25,5570.25,-206.2,stop,640,overnight_short_weak
overnight_momentum,2024-07-08T22:00:00+00:00,2024-07-08T23:32:00+00:00,sell,5627.75,5635.75,-206.2,stop,92,overnight_short_weak
overnight_momentum,2024-07-09T22:00:00+00:00,2024-07-10T10:26:00+00:00,sell,5632.5,5640.5,-206.2,stop,746,overnight_short_weak
overnight_momentum,2024-07-10T22:00:00+00:00,2024-07-11T12:30:00+00:00,sell,5684.75,5692.75,-206.2,stop,870,overnight_short_weak
overnight_momentum,2024-07-11T22:00:00+00:00,2024-07-12T13:00:00+00:00,sell,5641.0,5644.0,-81.2,force_close_session,900,overnight_short_weak
overnight_momentum,2024-07-15T22:00:00+00:00,2024-07-16T07:06:00+00:00,buy,5691.0,5683.0,-206.2,stop,546,overnight_long_weak
overnight_momentum,2024-07-16T22:00:00+00:00,2024-07-17T06:22:00+00:00,sell,5716.25,5692.25,593.8,target,502,overnight_short_weak
overnight_momentum,2024-07-17T22:00:00+00:00,2024-07-18T10:12:00+00:00,buy,5647.25,5639.25,-206.2,stop,732,overnight_long_weak
overnight_momentum,2024-07-18T22:00:00+00:00,2024-07-19T06:50:00+00:00,buy,5601.75,5593.75,-206.2,stop,530,overnight_long_weak
overnight_momentum,2024-07-22T22:00:00+00:00,2024-07-23T00:44:00+00:00,buy,5608.0,5600.0,-206.2,stop,164,overnight_long_weak
overnight_momentum,2024-07-23T22:00:00+00:00,2024-07-24T08:14:00+00:00,sell,5581.5,5557.5,593.8,target,614,overnight_short_weak
overnight_momentum,2024-07-24T22:00:00+00:00,2024-07-25T02:48:00+00:00,buy,5483.5,5475.5,-206.2,stop,288,overnight_long_weak
overnight_momentum,2024-07-25T22:00:00+00:00,2024-07-26T07:40:00+00:00,buy,5450.0,5474.0,593.8,target,580,overnight_long_weak
overnight_momentum,2024-07-29T22:00:00+00:00,2024-07-30T01:36:00+00:00,sell,5506.75,5482.75,593.8,target,216,overnight_short_weak
overnight_momentum,2024-07-30T22:00:00+00:00,2024-07-30T23:32:00+00:00,buy,5453.5,5477.5,593.8,target,92,overnight_long_weak
overnight_momentum,2024-08-01T22:00:00+00:00,2024-08-01T22:06:00+00:00,buy,5469.0,5461.0,-206.2,stop,6,overnight_long_strong
overnight_momentum,2024-08-05T22:00:00+00:00,2024-08-06T00:46:00+00:00,buy,5252.75,5276.75,593.8,target,166,overnight_long_strong
overnight_momentum,2024-08-06T22:00:00+00:00,2024-08-06T22:08:00+00:00,sell,5249.0,5257.0,-206.2,stop,8,overnight_short_strong
overnight_momentum,2024-08-07T22:00:00+00:00,2024-08-07T23:32:00+00:00,sell,5215.0,5191.0,593.8,target,92,overnight_short_strong
overnight_momentum,2024-08-08T22:00:00+00:00,2024-08-08T23:12:00+00:00,sell,5353.25,5361.25,-206.2,stop,72,overnight_short_weak
overnight_momentum,2024-08-12T22:00:00+00:00,2024-08-13T03:16:00+00:00,sell,5372.0,5380.0,-206.2,stop,316,overnight_short_weak
overnight_momentum,2024-08-13T22:00:00+00:00,2024-08-14T12:30:00+00:00,buy,5458.5,5450.5,-206.2,stop,870,overnight_long_weak
overnight_momentum,2024-08-14T22:00:00+00:00,2024-08-15T02:10:00+00:00,sell,5480.25,5488.25,-206.2,stop,250,overnight_short_weak
overnight_momentum,2024-08-15T22:00:00+00:00,2024-08-15T22:38:00+00:00,sell,5566.75,5574.75,-206.2,stop,38,overnight_short_strong
overnight_momentum,2024-08-19T22:00:00+00:00,2024-08-20T07:16:00+00:00,sell,5629.75,5637.75,-206.2,stop,556,overnight_short_weak
overnight_momentum,2024-08-20T22:00:00+00:00,2024-08-21T03:32:00+00:00,sell,5620.5,5628.5,-206.2,stop,332,overnight_short_weak
overnight_momentum,2024-08-21T22:00:00+00:00,2024-08-22T03:06:00+00:00,buy,5641.75,5633.75,-206.2,stop,306,overnight_long_weak
overnight_momentum,2024-08-22T22:00:00+00:00,2024-08-23T10:40:00+00:00,buy,5600.0,5624.0,593.8,target,760,overnight_long_weak
